商品名称,进货价格,售卖定价,毛利,毛利率(%),库存量,数据状态,商品条码
椰子饮料,5.23,5.5,¥0.27,4.91,131,正常,8850161230417
佳得乐 柠檬味,4.75,5,¥0.25,5.00,57,正常,6934024590169
可口可乐,2.85,3,¥0.15,5.00,48,正常,6954767410173
佳得乐 蓝莓味,4.75,5,¥0.25,5.00,41,正常,6934024590367
佳得乐 西柚味,4.75,5,¥0.25,5.00,36,正常,6934024590466
芭乐茉莉气泡果汁茶,5.7,6,¥0.30,5.00,8,正常,6973179000637
七喜,2.85,3,¥0.15,5.00,7,正常,6908946286936
梅子柠檬气泡水,4.75,5,¥0.25,5.00,6,正常,8850999021201
低糖乌龙茶,4.28,4.5,¥0.22,4.89,-5,异常,6921581596048
百事可乐,2.85,3,¥0.15,5.00,-19,异常,6942404210064
荔枝果汁气泡水,5.7,6,¥0.30,5.00,-19,异常,05965459001
星巴克咖啡,10.45,11,¥0.55,5.00,-22,异常,6970870270947
维他柠檬茶,3.33,3.5,¥0.17,4.86,-23,异常,4891028726449
梅子多多气泡水,4.75,5,¥0.25,5.00,-29,异常,6972549661186
维他气泡苹果绿茶,5.23,5.5,¥0.27,4.91,-38,异常,4891028727224
